model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1600 Black Ascent 996625 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1600,7-7-6-18,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 996600 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1600,7-7-6-18,,Micron,,Micron D9GTS (BY-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 996601 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1600,7-7-6-18,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 996601AM3 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1600,7-7-6-18,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 996657AM3 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.95V,DDR3-1600,7-7-7-20,,Micron,,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 996679 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,7-8-7-20,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 998678 (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65v,DDR3-1600,7-8-7-20,,Elpida,,Elpida MNH-E Hyper (some),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline 998679 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,7-8-7-20,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Blackline Essential 996679es (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,7-8-7-20,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Enhanced Blackline 996679 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,7-8-7-20,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Enhanced Blackline 998679 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,7-8-7-20,,Elpida,,Elpida J1108BABG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Enhanced Redline 998805 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Enhanced Ridgeback 996826 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Powerchip,,Powerchip XEA114A3G-P,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline 996805 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Powerchip,,Powerchip XDR729A3G-A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline 997013 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,7-8-7-24,,hynix/SK hynix,,hynix/SK hynix H5TQ2GB3BFR-H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline 997057 (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-1600,7-7-7-24,,Micron,,Micron D9LGK (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline 998691 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-7-6-18,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline 998729 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-6-5-18,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline 998805 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline Ascent998692 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-7-6-18,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Redline Copperhead998831 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ridgeback 996826 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Powerchip,,Powerchip XDZ025A3G-A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ridgeback 998826 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,6-8-6-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ridgeback 998827 (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 Black Ascent 996626 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.95V,DDR3-1800,8-8-7-20,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 XP996602 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.95V,DDR3-1800,8-8-7-20,,Micron,,"Micron D9GTS (BY-15E), Micron D9GTR (BY-187E)",N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
